"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 18, 2020","75.80","74.03","76.66","74.03","3.04M","2.65%"
"Sep 17, 2020","73.84","77.52","77.75","73.84","2.50M","-5.37%"
"Sep 16, 2020","78.03","75.85","78.38","75.55","2.16M","4.03%"
"Sep 15, 2020","75.01","73.98","75.79","73.50","1.91M","3.35%"
"Sep 14, 2020","72.58","73.85","75.00","70.21","2.58M","-1.75%"
"Sep 11, 2020","73.87","73.79","75.04","72.80","2.09M","-2.33%"
"Sep 10, 2020","75.63","76.79","77.60","75.16","2.24M","2.13%"
"Sep 09, 2020","74.05","70.70","74.93","70.06","3.47M","-1.32%"
"Sep 08, 2020","75.04","77.15","77.75","74.76","1.77M","-1.72%"
"Sep 07, 2020","76.35","76.55","77.80","74.56","2.46M","-2.37%"
"Sep 04, 2020","78.20","77.02","80.85","76.13","2.98M","-6.67%"
"Sep 03, 2020","83.79","84.36","86.48","82.17","2.53M","1.56%"
"Sep 02, 2020","82.50","83.69","83.92","73.68","5.41M","-1.89%"
"Sep 01, 2020","84.09","89.08","90.51","82.60","6.26M","-8.04%"
"Aug 31, 2020","91.44","88.00","93.26","87.44","2.41M","3.03%"
"Aug 28, 2020","88.75","90.60","91.26","86.61","2.61M","-2.75%"
"Aug 27, 2020","91.26","93.99","95.97","85.02","3.55M","0.60%"
"Aug 26, 2020","90.72","91.66","92.19","88.97","3.37M","-1.90%"
"Aug 25, 2020","92.48","85.00","93.50","84.92","2.80M","11.79%"
"Aug 24, 2020","82.73","81.39","83.00","80.65","1.97M","4.79%"
"Aug 21, 2020","78.95","81.50","82.00","78.90","2.16M","-1.29%"
"Aug 20, 2020","79.98","80.77","82.00","79.08","3.07M","6.78%"
"Aug 19, 2020","74.90","76.35","77.00","74.90","2.03M","-0.13%"
"Aug 18, 2020","75.00","74.64","76.34","74.11","1.51M","1.65%"
"Aug 17, 2020","73.78","75.75","75.80","73.66","1.39M","-2.66%"
"Aug 14, 2020","75.80","71.10","75.80","71.10","1.96M","6.33%"
